iter	Logloss
0	0.6726013184
1	0.6519762312
2	0.6394406564
3	0.6272882516
4	0.6168839373
5	0.5953172956
6	0.5752546038
7	0.5637743269
8	0.5496643502
9	0.5443346296
10	0.5377557809
11	0.524801287
12	0.5153891427
13	0.5113274711
14	0.5081811959
15	0.5036170306
16	0.494871303
17	0.4903110177
18	0.4836907523
19	0.4759273856
20	0.4690110997
21	0.4672435216
22	0.4622248186
23	0.4586800711
24	0.4540609741
25	0.452848162
26	0.450866612
27	0.4453785052
28	0.4410214233
29	0.4374073574
30	0.4350411551
31	0.4310718209
32	0.4281407384
33	0.4248555211
34	0.4233403233
35	0.4206686401
36	0.4187204851
37	0.4159028843
38	0.4135278756
39	0.4100866263
40	0.4089765276
41	0.4074775914
42	0.4059446498
43	0.4042318726
44	0.4035040283
45	0.402290475
46	0.3995797294
47	0.3982066127
48	0.3971329607
49	0.3954248919
50	0.393203561
51	0.3910127476
52	0.3885233852
53	0.3860520281
54	0.3852126203
55	0.384476362
56	0.3835018485
57	0.3816102818
58	0.380889631
59	0.3784920829
60	0.3772746059
61	0.3762649972
62	0.3749698312
63	0.373202907
64	0.3723595755
65	0.3707295445
66	0.3692824881
67	0.3681213379
68	0.3669362967
69	0.3656950596
70	0.3641331046
71	0.3634161377
72	0.3623927961
73	0.3617526681
74	0.3609050424
75	0.360113242
76	0.3591407776
77	0.3577818516
78	0.3575395421
79	0.35611169
80	0.3549443708
81	0.3545555769
82	0.3535714504
83	0.3520881435
84	0.3513048444
85	0.3497766113
86	0.3483682687
87	0.347915475
88	0.3467072405
89	0.3455255563
90	0.3450784302
91	0.344370466
92	0.3437637329
93	0.3434109715
94	0.3426218741
95	0.3419849723
96	0.3412550572
97	0.3406130981
98	0.3388356454
99	0.3383613804
